i_id;ccode;cexch_name;cdept_id;cperson_id;ccus_id;csup_id;citem_class;citem_id;iperiod;cbegind_c;cbegind_c_engl;mb;md;mc;cendd_c;cendd_c_engl;me;mb_f;md_f;mc_f;me_f;nb_s;nd_s;nc_s;ne_s
36;40010106       ;        ;00605       ;        ;                    ;            ;  ;                    ;12;贷 ;Cr;101400.0;0.0;0.0;贷 ;Cr;101400.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
37;40010114       ;        ;00623       ;        ;                    ;            ;  ;                    ;1;平 ;- ;0.0;0.0;5100.0;贷 ;Cr;5100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0
38;40010114       ;        ;00623       ;        ;                    ;            ;  ;                    ;2;贷 ;Cr;5100.0;0.0;0.0;贷 ;Cr;5100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
39;40010114       ;        ;00623       ;        ;                    ;            ;  ;                    ;3;贷 ;Cr;5100.0;0.0;5700.0;贷 ;Cr;10800.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0
40;40010114       ;        ;00623       ;        ;                    ;            ;  ;                    ;4;贷 ;Cr;10800.0;0.0;0.0;贷 ;Cr;10800.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41;40010114       ;        ;00623       ;        ;                    ;            ;  ;                    ;5;贷 ;Cr;10800.0;0.0;0.0;贷 ;Cr;10800.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42;40010114       ;        ;00623       ;        ;                    ;            ;  ;                    ;6;贷 ;Cr;10800.0;0.0;0.0;贷 ;Cr;10800.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43;40010114       ;        ;00623       ;        ;                    ;            ;  ;                    ;7;贷 ;Cr;10800.0;0.0;0.0;贷 ;Cr;10800.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44;40010114       ;        ;00623       ;        ;                    ;            ;  ;                    ;8;贷 ;Cr;10800.0;0.0;0.0;贷 ;Cr;10800.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45;40010114       ;        ;00623       ;        ;                    ;            ;  ;                    ;9;贷 ;Cr;10800.0;0.0;0.0;贷 ;Cr;10800.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46;40010114       ;        ;00623       ;        ;                    ;            ;  ;                    ;10;贷 ;Cr;10800.0;0.0;0.0;贷 ;Cr;10800.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
47;40010114       ;        ;00623       ;        ;                    ;            ;  ;                    ;11;贷 ;Cr;10800.0;0.0;0.0;贷 ;Cr;10800.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
48;40010114       ;        ;00623       ;        ;                    ;            ;  ;                    ;12;贷 ;Cr;10800.0;0.0;0.0;贷 ;Cr;10800.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
49;5011010101     ;        ;00101       ;        ;                    ;            ;  ;                    ;1;平 ;- ;0.0;71750.0;0.0;借 ;Dr;71750.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50;5011010101     ;        ;00101       ;        ;                    ;            ;  ;                    ;2;借 ;Dr;71750.0;71750.0;0.0;借 ;Dr;143500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51;5011010101     ;        ;00101       ;        ;                    ;            ;  ;                    ;3;借 ;Dr;143500.0;71750.0;0.0;借 ;Dr;215250.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
52;5011010101     ;        ;00101       ;        ;                    ;            ;  ;                    ;4;借 ;Dr;215250.0;73912.0;0.0;借 ;Dr;289162.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
53;5011010101     ;        ;00101       ;        ;                    ;            ;  ;                    ;5;借 ;Dr;289162.0;73912.0;0.0;借 ;Dr;363074.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54;5011010101     ;        ;00101       ;        ;                    ;            ;  ;                    ;6;借 ;Dr;363074.0;0.0;0.0;借 ;Dr;363074.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
55;5011010101     ;        ;00101       ;        ;                    ;            ;  ;                    ;7;借 ;Dr;363074.0;0.0;0.0;借 ;Dr;363074.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56;5011010101     ;        ;00101       ;        ;                    ;            ;  ;                    ;8;借 ;Dr;363074.0;0.0;0.0;借 ;Dr;363074.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
57;5011010101     ;        ;00101       ;        ;                    ;            ;  ;                    ;9;借 ;Dr;363074.0;0.0;0.0;借 ;Dr;363074.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
58;5011010101     ;        ;00101       ;        ;                    ;            ;  ;                    ;10;借 ;Dr;363074.0;0.0;0.0;借 ;Dr;363074.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59;5011010101     ;        ;00101       ;        ;                    ;            ;  ;                    ;11;借 ;Dr;363074.0;0.0;0.0;借 ;Dr;363074.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
60;5011010101     ;        ;00101       ;        ;                    ;            ;  ;                    ;12;借 ;Dr;363074.0;0.0;0.0;借 ;Dr;363074.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
61;5011010102     ;        ;00101       ;        ;                    ;            ;  ;                    ;1;平 ;- ;0.0;132925.0;0.0;借 ;Dr;132925.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
62;5011010102     ;        ;00101       ;        ;                    ;            ;  ;                    ;2;借 ;Dr;132925.0;132925.0;0.0;借 ;Dr;265850.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
63;5011010102     ;        ;00101       ;        ;                    ;            ;  ;                    ;3;借 ;Dr;265850.0;132925.0;0.0;借 ;Dr;398775.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
64;5011010102     ;        ;00101       ;        ;                    ;            ;  ;                    ;4;借 ;Dr;398775.0;155666.0;0.0;借 ;Dr;554441.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
65;5011010102     ;        ;00101       ;        ;                    ;            ;  ;                    ;5;借 ;Dr;554441.0;137530.0;0.0;借 ;Dr;691971.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
66;5011010102     ;        ;00101       ;        ;                    ;            ;  ;                    ;6;借 ;Dr;691971.0;0.0;0.0;借 ;Dr;691971.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67;5011010102     ;        ;00101       ;        ;                    ;            ;  ;                    ;7;借 ;Dr;691971.0;0.0;0.0;借 ;Dr;691971.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
68;5011010102     ;        ;00101       ;        ;                    ;            ;  ;                    ;8;借 ;Dr;691971.0;0.0;0.0;借 ;Dr;691971.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
69;5011010102     ;        ;00101       ;        ;                    ;            ;  ;                    ;9;借 ;Dr;691971.0;0.0;0.0;借 ;Dr;691971.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
70;5011010102     ;        ;00101       ;        ;                    ;            ;  ;                    ;10;借 ;Dr;691971.0;0.0;0.0;借 ;Dr;691971.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
71;5011010102     ;        ;00101       ;        ;                    ;            ;  ;                    ;11;借 ;Dr;691971.0;0.0;0.0;借 ;Dr;691971.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
72;5011010102     ;        ;00101       ;        ;                    ;            ;  ;                    ;12;借 ;Dr;691971.0;0.0;0.0;借 ;Dr;691971.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
73;5011010302     ;        ;00401       ;        ;                    ;            ;  ;                    ;1;平 ;- ;0.0;72583.69;0.0;借 ;Dr;72583.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
74;5011010302     ;        ;00401       ;        ;                    ;            ;  ;                    ;2;借 ;Dr;72583.69;72583.69;0.0;借 ;Dr;145167.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75;5011010302     ;        ;00401       ;        ;                    ;            ;  ;                    ;3;借 ;Dr;145167.38;72583.69;0.0;借 ;Dr;217751.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
76;5011010302     ;        ;00401       ;        ;                    ;            ;  ;                    ;4;借 ;Dr;217751.07;72583.69;0.0;借 ;Dr;290334.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
77;5011010302     ;        ;00401       ;        ;                    ;            ;  ;                    ;5;借 ;Dr;290334.76;72583.69;0.0;借 ;Dr;362918.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
78;5011010302     ;        ;00401       ;        ;                    ;            ;  ;                    ;6;借 ;Dr;362918.45;0.0;0.0;借 ;Dr;362918.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
79;5011010302     ;        ;00401       ;        ;                    ;            ;  ;                    ;7;借 ;Dr;362918.45;0.0;0.0;借 ;Dr;362918.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
80;5011010302     ;        ;00401       ;        ;                    ;            ;  ;                    ;8;借 ;Dr;362918.45;0.0;0.0;借 ;Dr;362918.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
81;5011010302     ;        ;00401       ;        ;                    ;            ;  ;                    ;9;借 ;Dr;362918.45;0.0;0.0;借 ;Dr;362918.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
82;5011010302     ;        ;00401       ;        ;                    ;            ;  ;                    ;10;借 ;Dr;362918.45;0.0;0.0;借 ;Dr;362918.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
83;5011010302     ;        ;00401       ;        ;                    ;            ;  ;                    ;11;借 ;Dr;362918.45;0.0;0.0;借 ;Dr;362918.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
84;5011010302     ;        ;00401       ;        ;                    ;            ;  ;                    ;12;借 ;Dr;362918.45;0.0;0.0;借 ;Dr;362918.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
85;5011020101     ;        ;00308       ;        ;                    ;            ;  ;                    ;1;平 ;- ;0.0;1700.0;0.0;借 ;Dr;1700.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
86;5011020101     ;        ;00308       ;        ;                    ;            ;  ;                    ;2;借 ;Dr;1700.0;23766.4;0.0;借 ;Dr;25466.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
87;5011020101     ;        ;00308       ;        ;                    ;            ;  ;                    ;3;借 ;Dr;25466.4;0.0;0.0;借 ;Dr;25466.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
88;5011020101     ;        ;00308       ;        ;                    ;            ;  ;                    ;4;借 ;Dr;25466.4;924.0;0.0;借 ;Dr;26390.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
89;5011020101     ;        ;00308       ;        ;                    ;            ;  ;                    ;5;借 ;Dr;26390.4;17999.5;0.0;借 ;Dr;44389.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
90;5011020101     ;        ;00308       ;        ;                    ;            ;  ;                    ;6;借 ;Dr;44389.9;0.0;0.0;借 ;Dr;44389.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
91;5011020101     ;        ;00308       ;        ;                    ;            ;  ;                    ;7;借 ;Dr;44389.9;0.0;0.0;借 ;Dr;44389.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
92;5011020101     ;        ;00308       ;        ;                    ;            ;  ;                    ;8;借 ;Dr;44389.9;0.0;0.0;借 ;Dr;44389.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
93;5011020101     ;        ;00308       ;        ;                    ;            ;  ;                    ;9;借 ;Dr;44389.9;0.0;0.0;借 ;Dr;44389.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
94;5011020101     ;        ;00308       ;        ;                    ;            ;  ;                    ;10;借 ;Dr;44389.9;0.0;0.0;借 ;Dr;44389.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
95;5011020101     ;        ;00308       ;        ;                    ;            ;  ;                    ;11;借 ;Dr;44389.9;0.0;0.0;借 ;Dr;44389.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
96;5011020101     ;        ;00308       ;        ;                    ;            ;  ;                    ;12;借 ;Dr;44389.9;0.0;0.0;借 ;Dr;44389.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
97;5011020107     ;        ;00309       ;        ;                    ;            ;  ;                    ;1;平 ;- ;0.0;12480.0;0.0;借 ;Dr;12480.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
98;5011020107     ;        ;00309       ;        ;                    ;            ;  ;                    ;2;借 ;Dr;12480.0;15000.0;0.0;借 ;Dr;27480.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99;5011020107     ;        ;00309       ;        ;                    ;            ;  ;                    ;3;借 ;Dr;27480.0;0.0;0.0;借 ;Dr;27480.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100;5011020107     ;        ;00309       ;        ;                    ;            ;  ;                    ;4;借 ;Dr;27480.0;0.0;0.0;借 ;Dr;27480.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
101;5011020107     ;        ;00309       ;        ;                    ;            ;  ;                    ;5;借 ;Dr;27480.0;0.0;0.0;借 ;Dr;27480.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
102;5011020107     ;        ;00309       ;        ;                    ;            ;  ;                    ;6;借 ;Dr;27480.0;0.0;0.0;借 ;Dr;27480.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
103;5011020107     ;        ;00309       ;        ;                    ;            ;  ;                    ;7;借 ;Dr;27480.0;0.0;0.0;借 ;Dr;27480.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
104;5011020107     ;        ;00309       ;        ;                    ;            ;  ;                    ;8;借 ;Dr;27480.0;0.0;0.0;借 ;Dr;27480.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
105;5011020107     ;        ;00309       ;        ;                    ;            ;  ;                    ;9;借 ;Dr;27480.0;0.0;0.0;借 ;Dr;27480.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
106;5011020107     ;        ;00309       ;        ;                    ;            ;  ;                    ;10;借 ;Dr;27480.0;0.0;0.0;借 ;Dr;27480.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
107;5011020107     ;        ;00309       ;        ;                    ;            ;  ;                    ;11;借 ;Dr;27480.0;0.0;0.0;借 ;Dr;27480.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
108;5011020107     ;        ;00309       ;        ;                    ;            ;  ;                    ;12;借 ;Dr;27480.0;0.0;0.0;借 ;Dr;27480.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
109;5011020110     ;        ;00309       ;        ;                    ;            ;  ;                    ;1;平 ;- ;0.0;538.5;0.0;借 ;Dr;538.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110;5011020110     ;        ;00309       ;        ;                    ;            ;  ;                    ;2;借 ;Dr;538.5;9640.0;0.0;借 ;Dr;10178.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
111;5011020110     ;        ;00309       ;        ;                    ;            ;  ;                    ;3;借 ;Dr;10178.5;2886.0;0.0;借 ;Dr;13064.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
112;5011020110     ;        ;00309       ;        ;                    ;            ;  ;                    ;4;借 ;Dr;13064.5;3256.0;0.0;借 ;Dr;16320.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
113;5011020110     ;        ;00309       ;        ;                    ;            ;  ;                    ;5;借 ;Dr;16320.5;4829.0;0.0;借 ;Dr;21149.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
114;5011020110     ;        ;00309       ;        ;                    ;            ;  ;                    ;6;借 ;Dr;21149.5;0.0;0.0;借 ;Dr;21149.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
115;5011020110     ;        ;00309       ;        ;                    ;            ;  ;                    ;7;借 ;Dr;21149.5;0.0;0.0;借 ;Dr;21149.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
116;5011020110     ;        ;00309       ;        ;                    ;            ;  ;                    ;8;借 ;Dr;21149.5;0.0;0.0;借 ;Dr;21149.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
117;5011020110     ;        ;00309       ;        ;                    ;            ;  ;                    ;9;借 ;Dr;21149.5;0.0;0.0;借 ;Dr;21149.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
118;5011020110     ;        ;00309       ;        ;                    ;            ;  ;                    ;10;借 ;Dr;21149.5;0.0;0.0;借 ;Dr;21149.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
119;5011020110     ;        ;00309       ;        ;                    ;            ;  ;                    ;11;借 ;Dr;21149.5;0.0;0.0;借 ;Dr;21149.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
120;5011020110     ;        ;00309       ;        ;                    ;            ;  ;                    ;12;借 ;Dr;21149.5;0.0;0.0;借 ;Dr;21149.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
